lemma_beta,freq
s1u/nedros,1
a)porre/w,1
s1u/naulos,1
s1tonaxh/,1
s1tibe/w,1
s1umba/llw,1
a)ris1tei=a,1
s1pe/rma,1
a)ris1tero/s,1
*telamw/nios,1
a)ris1teu/s,1
s1ku/mnos,1
s1koto/w,1
s1kopo/s,1
s1kope/w,1
s1ko/tos,1
a)ris1to/xeir,1
a)ke/leus1tos,1
s1ke/ptomai,1
s1kaio/s,1
s1ka/fos,1
a)rkte/os,1
s1pei/rw,1
s1pla/gxnon,1
s1thri/zw,1
s1pora/,1
s1teroph/,1
s1tereo/frwn,1
s1tere/w,1
s1tena/zw,1
a)ra/s1s1w,1
s1te/rnon,1
s1te/nw,1
s1te/gos,1
a)rgi/pous,1
s1te/fw,1
a)riqmo/s,1
s1ta/zw,1
a)ris1tei/a,1
s1qe/nos,1
s1poudh/,1
s1ullu/w,1
s1umfe/rw,1
a)noimwkti/,1
a)ntiti/nw,1
te/ws,1
a)nw/dunos,1
te/rpw,1
te/rma,1
te/mnw,1
a)pai/s1s1w,1
*ai)aki/dhs,1
te/ggw,1
*ai)gai=os,1
a)pale/cw,1
a)parne/omai,1
tauropo/los,1
a)pata/w,1
a)pauda/w,1
a)peilh/,1
tei/nw,1
teles1fo/ros,1
talai/frwn,1
teleuta/w,1
a)nqi/s1thmi,1
*)ika/rios,1
a)nqrw/peios,1
tima/w,1
*)olumpia/s,1
*\ea)/rtemis,1
a)nta/w,1
ti/ktw,1
thlwpo/s,1
a)ntakou/w,1
a)nth/lios,1
texna/omai,1
a)ntia/zw,1
teu=kros,1
a)ntifwne/w,1
tanu/pous,1
a)peire/s1ios,1
s1umfora/,1
s1unnau/ths,1
s1unhrete/w,1
s1une/rxomai,1
s1une/rgw,1
s1unde/omai,1
s1undai/zw,1
s1unauda/w,1
a)pofqi/nw,1
s1unallagh/,1
s1unalla/s1s1w,1
a)pokale/w,1
s1una/ptw,1
s1umpra/s1s1w,1
s1umpone/w,1
a)polwba/omai,1
s1ummanqa/nw,1
s1uni/hmi,1
s1unqa/ptw,1
*atrei/dhs,1
s1unti/qhmi,1
a)peru/kw,1
ta/s1s1w,1
a)peuqu/nw,1
ta/fros,1
a)pis1te/w,1
ta/cis,1
a)kmai=os,1
s1xe/tlios,1
s1wthri/a,1
s1wth/rios,1
a)po/s1trofos,1
a)po/tropos,1
a)pobla/ptw,1
a)podidra/s1kw,1
s1untugxa/nw,1
pagkrath/s,1
dhmiourgo/s,1
pa/thr,1
a)/xqos,1
e)kbai/nw,1
a)/upnos,1
i)/s1os,1
i)/lh,1
i)/laos,1
i(pponw/mas,1
i(ppomanh/s,1
i(ppode/ths,1
i(ppiko/s,1
i(keth/rios,1
i(ke/ths,1
i(drw/s,1
i(drute/on,1
a)/naudos,1
e)kfe/rw,1
e)gw/ge,1
i)atro/s,1
geu/w,1
i)au/w,1
e)fh/kw,1
kagxa/zw,1
e)forma/w,1
e)ggu/qen,1
ka/ron,1
ka/ra,1
e)ggu/s,1
ka/lumma,1
k,1
i)xqu/s,1
i)xneu/w,1
a)/nas1s1a,1
e)gkatazeu/gnumi,1
i)s1xu/s,1
e)gklei/w,1
e)kfeu/gw,1
h)pu/w,1
h)=qos,1
h)=mos,1
e)kple/w,1
e)kplh/gnumi,1
a)/ntuc,1
gumno/s,1
gou=n,1
gorgwpo/s,1
gonh/,1
go/nos,1
e)kpodw/n,1
a)/nwga,1
e)kpra/s1s1w,1
e)kpunqa/nomai,1
a)/oknos,1
ghrobos1ko/s,1
e)krh/gnumi,1
e)kpi/ptw,1
e)kpe/mpw,1
h(/s1uxos,1
h(ni/a,1
a)/neu,1
a)/nolbos,1
a)/noos,1
h(s1s1a/omai,1
h(ni/x',1
e)kkalu/ptw,1
h(meri/a,1
h(=mai,1
h(me/rios,1
a)/ntron,1
h(ge/omai,1
e)kne/momai,1
h(=|,1
h(=par,1
e)fe/s1tios,1
e)fa/ptw,1
e)cwqe/w,1
a)/llote,1
kle/pths,1
kle/os,1
kine/w,1
e)ceta/zw,1
ki/nados,1
khru/s1s1w,1
kh=ruc,1
kh=r,1
kh/dw,1
keu/qw,1
kerdai/nw,1
kente/w,1
e)ceuri/s1kw,1
kelainw/pas,1
kelaino/s,1
e)cera/w,1
klh/|zw,1
klh=ros,1
e)cama/w,1
e)cai/fnhs,1
koinwno/s,1
e)cai/rw,1
koino/plous,1
e)calla/s1s1w,1
e)calu/s1kw,1
ko/mpos,1
klhrou=xos,1
knw/dwn,1
kna/ptw,1
e)ce/romai,1
e)cefi/hmi,1
kloph/,1
kli/nw,1
e)chge/omai,1
kei/rw,1
e)corma/w,1
kefalh/,1
kartero/s,1
kartere/w,1
kaqubri/zw,1
e)comoio/w,1
kaqi/hmi,1
kaqaire/w,1
kalu/ptw,1
a)/mfw,1
kallis1tei=on,1
a)/moiros,1
kakou=rgos,1
kakopinh/s,1
a)/mugma,1
kako/qrous,1
kakandri/a,1
e)coimw/zw,1
kata/s1tas1is,1
katacai/nw,1
kateu/xomai,1
kedno/s,1
ke/rdos,1
ke/rdis1tos,1
ke/leuqos,1
katopteu/w,1
kathgore/w,1
katenari/zw,1
e)cixnos1kope/w,1
kate/pefnon,1
katas1pei/rw,1
katas1be/nnumi,1
